編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,url,顏色
2857,開架,MISSHA,,,電眼娃娃睫毛膏纖長版,Dolly Eye Mascara,獨特S型刷頭能輕鬆的刷長睫毛頭尾，覆蓋延伸每根睫毛，刷出自然纖長娃娃睫毛多重防暈染技術，不用擔心皮脂或遇水造成熊貓眼或睫毛膏碎屑掉滿臉膠原?成分、牛奶蛋白質、核桃、薏仁、黑豆萃取更能強韌、滋養睫毛。拒絕斷裂!,,彩妝品,"睫毛膏,","抗暈染,纖長,根根分明,",,"容量:10.5g:NT360,","TW, MY",,N,"MISSHA 電眼娃娃睫毛膏纖長版,電眼娃娃睫毛膏纖長版",2016/2/25,,N,N,,N,https://pic.pimg.tw/styleme/1456578337-3862975673.jpg,,,,,,https://www.urcosme.com/products/71686,

2911-1,開架,MISSHA,臉部彩妝,,立體五官雙頭修容筆-裸玫瑰,Soft Blending Stick Blusher,雙頭設計，一邊上色，一邊是超柔軟刷毛能暈開色塊打造自然立體妝容。好氣色,,彩妝品,"腮紅修容,","顯色,好上色,好推勻,細緻,修容,",,"容量:一支:NT350,","TW, MY",,N,"MISSHA 立體五官雙頭修容筆,立體五官雙頭修容筆",2016/2/25,,N,N,3,N,https://pic.pimg.tw/styleme/1456583068-4263410392.jpg,,,,,,http://www.watsons.com.tw/missha-立體五官雙頭修容棒-好氣色-pk02裸玫瑰-7.1g/p/BP_523406,玫瑰色
2911-2,開架,MISSHA,臉部彩妝,,立體五官雙頭修容筆-蜜糖粉,Soft Blending Stick Blusher,雙頭設計，一邊上色，一邊是超柔軟刷毛能暈開色塊打造自然立體妝容。好氣色,,彩妝品,"腮紅修容,","顯色,好上色,好推勻,細緻,修容,",,"容量:一支:NT350,","TW, MY",,N,"MISSHA 立體五官雙頭修容筆,立體五官雙頭修容筆",2016/2/25,,N,N,3,N,https://pic.pimg.tw/styleme/1456583068-4263410392.jpg,,,,,,http://www.watsons.com.tw/missha-立體五官雙頭修容棒-好氣色-pk01蜜糖粉-7.1g/p/BP_523381,粉色
2911-3,開架,MISSHA,臉部彩妝,,立體五官雙頭修容筆-蜂蜜桃,Soft Blending Stick Blusher,雙頭設計，一邊上色，一邊是超柔軟刷毛能暈開色塊打造自然立體妝容。好氣色,,彩妝品,"腮紅修容,","顯色,好上色,好推勻,細緻,修容,",,"容量:一支:NT350,","TW, MY",,N,"MISSHA 立體五官雙頭修容筆,立體五官雙頭修容筆",2016/2/25,,N,N,3,N,https://pic.pimg.tw/styleme/1456583068-4263410392.jpg,,,,,,http://www.watsons.com.tw/missha-立體五官雙頭修容棒-好氣色-cr01蜂蜜桃-7.1g/p/BP_523417,桃紅色
2911-4,開架,MISSHA,臉部彩妝,,立體五官雙頭修容筆-淺摩卡,Soft Blending Stick Blusher,雙頭設計，一邊上色，一邊是超柔軟刷毛能暈開色塊打造自然立體妝容。打陰影,,彩妝品,"腮紅修容,","顯色,好上色,好推勻,細緻,修容,",,"容量:一支:NT350,","TW, MY",,N,"MISSHA 立體五官雙頭修容筆,立體五官雙頭修容筆",2016/2/25,,N,N,3,N,https://pic.pimg.tw/styleme/1456583068-4263410392.jpg,,,,,,http://www.watsons.com.tw/missha-立體五官雙頭修容棒-打陰影-br01淺摩卡-7.1g/p/BP_523450,淺棕
2911-5,開架,MISSHA,臉部彩妝,,立體五官雙頭修容筆-花生棕,Soft Blending Stick Blusher,雙頭設計，一邊上色，一邊是超柔軟刷毛能暈開色塊打造自然立體妝容。打陰影,,彩妝品,"腮紅修容,","顯色,好上色,好推勻,細緻,修容,",,"容量:一支:NT350,","TW, MY",,N,"MISSHA 立體五官雙頭修容筆,立體五官雙頭修容筆",2016/2/25,,N,N,3,N,https://pic.pimg.tw/styleme/1456583068-4263410392.jpg,,,,,,http://www.watsons.com.tw/missha-立體五官雙頭修容棒-打陰影-br02花生棕-7.1g/p/BP_523461,深棕

2935,開架,MISSHA,唇彩系列,,紅磨坊絲絨胭脂唇釉-粉嫩莎婷,Painting Rouge,不過分亮澤的光感，不乾澀的立體霧面顯色唇釉，搭配獨特刷頭，無論哪一面怎麼刷都能均勻上色。咬唇妝或性感豐唇皆能完美打造!,,彩妝品,"唇彩唇蜜,","保濕,長效持妝,顯色,好上色,好推勻,色彩飽和,霧面",,"容量:1支:NT250,","TW, MY",,N,"MISSHA 紅磨坊絲絨胭脂唇釉,紅磨坊絲絨胭脂唇釉",2016/2/25,,N,N,15,N,https://pic.pimg.tw/styleme/1456666643-1574692305.jpg,,,,,,http://www.watsons.com.tw/missha-紅磨坊絲絨胭脂唇釉-戚風霧感-粉嫩莎婷-m5488/p/BP_523701,粉色

